sample NEUT TCEL MONO DEND BCEL
1 A_p24_1 0.0340995450374495 0.00774870290349295 0.624082118475236 0.281205582007126 0.0528640515766952
2 A_b1 0.13831000337967 0.0740943161058059 0.360203248885641 0.110805710061034 0.31658672156785
3 A_pe1 0.0204393066237435 0.345607847822922 0.279325388156861 0.098995038900854 0.255632418495619
4 B_p24_1 0.244986701240074 0.0780828171773621 0.308996206006286 0.177058214410441 0.190876061165836
5 B_b1 0.0609639912106164 0.278868428567978 0.381672984506532 0.26787612011677 0.0106184755981039
6 B_pe1 0.230856765285989 0.254949771251758 0.179235747566491 0.197263124410754 0.137694591485008
7 C_p24_1 0.284701059145838 0.0786193401599071 0.173931112593371 0.164412120073821 0.298336368027063
8 C_b1 0.30781809352801 0.270470346167719 0.00979657746608198 0.191042880483367 0.220872102354821
9 C_pe1 0.0487949902103056 0.191094128246053 0.375324239050338 0.217362499031387 0.167424143461918
10 D_p24_1 0.44046195039244 0.090717974672963 0.159457129615367 0.27510843338661 0.0342545119326197
11 D_b1 0.146298354536004 0.127556918618512 0.432911811937535 0.247267034358095 0.045965880549854
12 D_pe1 0.36466469216401 0.151169971871664 0.130570098016993 0.241699824549214 0.111895413398119
13 E_p24_1 0.104476013656356 0.268512820310206 0.0847248960320939 0.117108325425344 0.425177944576
14 E_b1 0.459830340433152 0.250113389468641 0.0623894130133765 0.0979822425743066 0.129684614510524
15 E_pe1 0.0201332479073056 0.305825401326663 0.481631245772005 0.0548657554687704 0.137544349525257
16 F_p24_1 0.182813014672292 0.270974434079183 0.27947286337356 0.234947389356537 0.0317922985184277
17 F_b1 0.28771883006784 0.141886947742871 0.208223782202591 0.257997926558467 0.104172513428231
18 F_pe1 0.283233285822984 0.0711405412295574 0.345826613773795 0.110183964412258 0.189615594761406
19 G_p24_1 0.251512613957688 0.153849414578823 0.0480374646049336 0.320582712701754 0.226017794156802
20 G_b1 0.206268211744761 0.0973051132569735 0.222676920469625 0.460303124549078 0.0134466299795628
21 G_pe1 0.162034710798491 0.175225903414971 0.151542446318937 0.238599762217332 0.272597177250269
22 H_p24_1 0.229588711729667 0.00102396086829807 0.0819458097825394 0.238701504982023 0.448740012637472
23 H_b1 0.0826822894235431 0.232070935172703 0.246821457704952 0.124933453345543 0.31349186435326
24 H_pe1 0.214546752845756 0.251368484892829 0.309446522596265 0.0721897090844928 0.152448530580658
25 I_p24_1 0.322276141512012 0.156758617303098 0.163359469990905 0.0904660354193581 0.267139735774628
26 I_b1 0.0304191201590515 0.311571864588847 0.354542791744011 0.257903679680371 0.0455625438277196
27 I_pe1 0.114595532401535 0.0989557549997691 0.340610236322684 0.146751405519219 0.299087070756792
28 J_p24_1 0.0262610068654881 0.308580352575547 0.239374110464323 0.20700005472151 0.218784475373133
29 J_b1 0.184347458286135 0.156082141354959 0.182331729691041 0.202555928784488 0.274682741883377
30 J_pe1 0.247269507768986 0.0642330228565959 0.338817967948455 0.213453982611887 0.136225518814077
31 K_p24_1 0.180548014007864 0.373280826180428 0.105528359886771 0.132572011365472 0.208070788559465
32 K_b1 0.268647641349391 0.0614532844224441 0.199550431250564 0.191269312053193 0.279079330924408
33 K_pe1 0.122782225151154 0.0303862184581462 0.464051196789661 0.251258343002662 0.131522016598376
34 L_p24_1 0.0684837041002017 0.358483878900077 0.356260833029352 0.0879563774008135 0.128815206569556
35 L_b1 0.130757036832934 0.281949607594999 0.0445461641196958 0.242081650097791 0.30066554135458
36 L_pe1 0.0710137750183863 0.142939255576074 0.36161576879872 0.352348800237763 0.0720824003690556
37 M_p24_1 0.0123575294300633 0.25753315571291 0.364201833615481 0.125145735267092 0.240761745974453
38 M_b1 0.328371133468972 0.132478321537324 0.0409917576504188 0.192407365367131 0.305751421976154
39 M_pe1 0.0789411604119239 0.220811283856111 0.364654184529047 0.213111949604842 0.122481421598076
40 N_p24_1 0.0482480780094466 0.313943022931157 0.235807228174088 0.29368869292301 0.108312977962298
41 N_b1 0.370185854814697 0.0777793443038555 0.0561268623836834 0.0799669818920932 0.415940956605671
42 N_pe1 0.307725778414657 0.268903470565668 0.0335530413573612 0.203492473974526 0.186325235687788
43 O_p24_1 0.385740522224597 0.00865878794367895 0.378321260668102 0.0192392539230873 0.208040175240536
44 O_b1 0.335809235735097 0.419339468702932 0.0176576688976076 0.089031213018256 0.138162413646108
